Datetime,Open,High,Low,Close,Volume
2018-01-26 04:00:00,11237.01,11350,11202.66,11276,1857670.37
2018-01-26 05:00:00,11276,11349.12,11166.3,11260.89,1216428.22
2018-01-26 06:00:00,11260.89,11303,11168,11171.08,1069081.21
2018-01-26 07:00:00,11171.08,11227.35,11102.78,11186.5,1583753.34
2018-01-26 08:00:00,11186.5,11390,11180,11387.64,3142077.15
2018-01-26 09:00:00,11387.64,11453.24,11180,11283,4558202.99
2018-01-26 10:00:00,11283,11669.95,11283,11604.4,5360136.45
2018-01-26 11:00:00,11604.4,11620.03,11485,11540,3923361.6
2018-01-26 12:00:00,11540,11595.54,11412.51,11493.67,3907368.03
2018-01-26 13:00:00,11493.67,11510,11387.61,11401.71,3593980.2
2018-01-26 14:00:00,11401.71,11460,11354,11408.15,4742685.58
2018-01-26 15:00:00,11408.15,11408.16,11000,11001.13,5011381.47
2018-01-26 16:00:00,11001.13,11006.1,10491.92,10805.6,5304870.21
2018-01-26 17:00:00,10805.6,10819.48,10369.95,10508.18,6021865.78
2018-01-26 18:00:00,10508.18,10642.85,10425.8,10552.63,5518878.55
2018-01-26 19:00:00,10552.63,10584,10405.75,10577.68,3317738.78
2018-01-26 20:00:00,10577.68,10743,10460,10684.39,4199149.71
2018-01-26 21:00:00,10684.39,10791,10521.6,10545.02,3874152.26
2018-01-26 22:00:00,10545.02,10778.69,10522.78,10770,5111146.96
2018-01-26 23:00:00,10770,11060,10750.01,11050.17,6007292.02
2018-01-27 00:00:00,11050.17,11275,11000,11054.75,4174866.21
2018-01-27 01:00:00,11054.75,11140.8,10977,11137.97,2670235.97
2018-01-27 02:00:00,11137.97,11150,10978,11025.4,1430268.07
2018-01-27 03:00:00,11025.4,11040,10900,10945.34,1366816.05
2018-01-27 04:00:00,10945.34,11080.42,10928.1,11002.95,746840.39
2018-01-27 05:00:00,11002.95,11003,10850.1,10900.9,900529.23
2018-01-27 06:00:00,10900.9,10948.24,10790,10814.85,1265438.4
2018-01-27 07:00:00,10814.85,11149.94,10814.85,11100,1703928.27
2018-01-27 08:00:00,11100,11189.82,11044.01,11075.8,2713122.3
2018-01-27 09:00:00,11075.8,11079.55,10853.52,10894.55,4499050.78
2018-01-27 10:00:00,10894.55,11176.53,10849.98,11070.17,3506181.38
2018-01-27 11:00:00,11070.17,11139.64,10973.95,10995.22,2983261.53
2018-01-27 12:00:00,10995.22,11098,10960,11000.84,2851874.34
2018-01-27 13:00:00,11000.84,11250,10960,11216.04,5195341.85
2018-01-27 14:00:00,11216.04,11378.99,11178.2,11274.14,4361195.78
2018-01-27 15:00:00,11274.14,11280,11150,11249.75,2832596.37
2018-01-27 16:00:00,11249.75,11303.38,11150,11184.92,2579717.26
2018-01-27 17:00:00,11184.92,11259.99,11125.01,11247,3043516.88
2018-01-27 18:00:00,11247,11300,11107.5,11230.42,2175378.51
2018-01-27 19:00:00,11230.42,11250,10888,11021.79,4156216.87
2018-01-27 20:00:00,11021.79,11122.48,10980.15,11022.06,2635772.24
2018-01-27 21:00:00,11022.06,11150,11021.75,11052.5,2473417.81
2018-01-27 22:00:00,11052.5,11081.7,11000,11066.55,2938492.3
2018-01-27 23:00:00,11066.55,11445.85,11050.28,11438.91,5632101.55
2018-01-28 00:00:00,11438.91,11572.3,11360,11572.3,4351077.5
2018-01-28 01:00:00,11572.3,11600,11400,11430,3501374.65
2018-01-28 02:00:00,11430,11475.28,11390.48,11435.73,1197572.16
2018-01-28 03:00:00,11435.73,11475.28,11418.35,11473.73,933784.76
2018-01-28 04:00:00,11473.73,11590,11441.74,11488.46,1439547.46
2018-01-28 05:00:00,11488.46,11599.99,11415.4,11541.98,814807.65
2018-01-28 06:00:00,11541.98,11575.69,11388.38,11498.16,1054827.57
2018-01-28 07:00:00,11498.16,11503.28,11320,11423.11,1626517.42
2018-01-28 08:00:00,11423.11,11569,11403.06,11460.28,2591536.17
2018-01-28 09:00:00,11460.28,11500,11358,11420,5828973.31
2018-01-28 10:00:00,11420,11549,11403.9,11494.66,3371858.18
2018-01-28 11:00:00,11494.66,11653.05,11450,11570.35,4282536.41
2018-01-28 12:00:00,11570.35,11810.98,11570.35,11807.95,4642288.27
2018-01-28 13:00:00,11807.95,11997.97,11782.95,11840.01,6372178.64
2018-01-28 14:00:00,11840.01,12274.25,11800.01,12199,4965311.85
2018-01-28 15:00:00,12199,12220,11920,11947.35,3980018.42
2018-01-28 16:00:00,11947.35,12022.25,11890,11890,3059543.03
2018-01-28 17:00:00,11890,11951.47,11780,11923.5,3502107.84
2018-01-28 18:00:00,11923.5,11972.22,11800,11847.52,2589315.53
2018-01-28 19:00:00,11847.52,11997.99,11819.34,11956.99,2517006.64
2018-01-28 20:00:00,11956.99,12049,11688.47,11783.44,3051447.86
2018-01-28 21:00:00,11783.44,11880,11680,11848,3336876.54
2018-01-28 22:00:00,11848,11852.97,11720,11751.46,2294494.48
2018-01-28 23:00:00,11751.46,11850.1,11741.47,11779,2724500.66
2018-01-29 00:00:00,11779,11880.05,11708.22,11860.05,2393902.24
2018-01-29 01:00:00,11860.05,11899,11745.47,11810.45,1507851.91
2018-01-29 02:00:00,11810.45,11865,11765.13,11794.58,784101.24
2018-01-29 03:00:00,11794.58,11836,11739,11819.61,783780.91
2018-01-29 04:00:00,11819.61,11942.22,11756.12,11887.5,1018836.74
2018-01-29 05:00:00,11887.5,11937,11834.93,11922.07,1266953.72
2018-01-29 06:00:00,11922.07,11935.07,11850,11905.89,1267926.79
2018-01-29 07:00:00,11905.89,11922.61,11783.05,11839.68,1701537.57
2018-01-29 08:00:00,11839.68,11937,11800.05,11829.82,2606158.67
2018-01-29 09:00:00,11829.82,11859.52,11432.86,11471.53,4665188.23
2018-01-29 10:00:00,11471.53,11611.99,11400,11565.05,4168615.41
2018-01-29 11:00:00,11565.05,11593.26,11499.95,11578.74,2751233.64
